object_type,luna,arch,file,cantaloupe
Image,UoE~1~1~24787~219778,51123ae7-d34d-4664-8faf-8ae8e9b8688a,0207205c.tif,
Image,UoE~1~1~24786~219779,8eb47f59-5023-4340-9fdd-f945f8631936,0207204c.tif,
Image,UoE~1~1~24785~219780,eb7def60-8179-4c51-84da-6939e4d295a0,0207203c.tif,
Image,UoE~1~1~24784~219781,005c7694-3e05-49e7-9398-c7731d2fa737,0207202c.tif,
Image,UoE~1~1~24783~219782,2ddc7a69-9cd9-49cf-aef6-44a4025ebc53,0207201c.tif,
Image,UoE~1~1~24782~219783,b64a1dc7-fee9-45c6-91a5-9cc1418d9bf1,0207200c.tif,
Image,UoE~1~1~24781~219784,f6fbdd41-3f64-4602-985a-605f941b7547,0207199c.tif,
Image,UoE~1~1~24780~219785,a95c204a-e6bf-4acf-bdff-7be695c300ea,0207198c.tif,
Image,UoE~1~1~24779~219786,630982f8-fdc6-43b1-8ba4-5354a1b55f2e,0207197c.tif,
Image,UoE~1~1~24778~219787,8f9ff498-06fa-4950-b02e-52b35b3a3fce,0207196c.tif,
Image,UoE~1~1~24777~219788,68201b43-4a1c-4692-b327-3b2a5851db78,0207195c.tif,
Image,UoE~1~1~24776~219789,5cd81a1c-310f-4f54-abb1-3a31172a3f51,0207194c.tif,
Image,UoE~1~1~24775~219790,2b32719f-8244-4d64-bc3e-db845846818c,0207193c.tif,
Image,UoE~1~1~24774~219791,2aafc972-3c36-4dfa-8813-5f54e074c1cc,0207192c.tif,
Image,UoE~1~1~24773~219792,0621dfa7-2fe5-4e24-9fc8-8345ec69e15c,0207191c.tif,
Image,UoE~1~1~24772~219793,ce44ba9c-c7a5-41d4-8890-7777fc32f9ec,0207190c.tif,
Image,UoE~1~1~24771~219794,8b2643e5-bafc-478b-aaa7-7563bb2a63d5,0207189c.tif,
Image,UoE~1~1~24770~219795,5777095c-2a88-4baa-92c9-05859d06e514,0207188c.tif,
Image,UoE~1~1~24769~219796,413cec53-21f3-420d-b916-22f09b9fb8c6,0207187c.tif,
Image,UoE~1~1~24768~219797,f9b79a1b-e4b0-4fd5-91c4-701029464f66,0207186c.tif,
Image,UoE~1~1~24767~219798,a99e51ab-92ad-433c-9c16-d8b008555068,0207185c.tif,
Image,UoE~1~1~24766~219799,792fe5d4-2976-4d34-8c3f-c320e7fd1c35,0207184c.tif,
Image,UoE~1~1~24765~219800,78377345-6413-48e5-9abe-77e48a2b061b,0207183c.tif,
Image,UoE~1~1~24764~219801,4423805a-e2c9-477d-b5d6-95d90292f1fe,0207182c.tif,
Image,UoE~1~1~24763~219802,5355cea4-4a3e-49fc-9334-6dae58054399,0207181c.tif,
