TOKEN, MAPPEDURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
rlq93o,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~34039~100546?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=2&cic=UoEsha%7E1%7E1
sq4qkx,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~34390~100573?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=29&cic=UoEsha%7E1%7E1
y0os6h,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48714~101743?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=40&cic=UoEsha%7E1%7E1
832d5f,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48727~101744?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=41&cic=UoEsha%7E1%7E1
0wujy0,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48740~101745?trs=45&qvq=q%3AJA+3726%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=42&cic=UoEsha%7E1%7E1
8qfk6r,https://images.is.ed.ac.uk/luna/servlet/view/search/what/JA 3726?q=JA+3726&pgs=50&res=1&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name
fh0168,"https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47391~101634:Richard-III,-1612,-Front-end-paper-?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=1&cic=UoEsha%7E1%7E1&sort=Work_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name"
0l82if,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47415~101636?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=3&cic=UoEsha%7E1%7E1
z2c5y7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47427~101637?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=4&cic=UoEsha%7E1%7E1
5y1q2s,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47643~101655?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=22&cic=UoEsha%7E1%7E1
89y62q,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47703~101660?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=27&cic=UoEsha%7E1%7E1
z337a8,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47727~101662?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=29&cic=UoEsha%7E1%7E1
a2vme7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47835~101671?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=38&cic=UoEsha%7E1%7E1
o16wv6,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47943~101680?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=47&cic=UoEsha%7E1%7E1
5p40gs,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47955~101681?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=48&cic=UoEsha%7E1%7E1
e7hu7i,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47967~101682?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=49&cic=UoEsha%7E1%7E1
78h10y,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47979~101683?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=50&cic=UoEsha%7E1%7E1
882bv9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~47991~101684?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=51&cic=UoEsha%7E1%7E1
1f5yu7,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48003~101685?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=52&cic=UoEsha%7E1%7E1
94g03z,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48015~101686?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=53&cic=UoEsha%7E1%7E1
1p79b9,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48027~101687?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=54&cic=UoEsha%7E1%7E1
o6qo2p,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48039~101688?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=55&cic=UoEsha%7E1%7E1
963kug,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48051~101689?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=56&cic=UoEsha%7E1%7E1
qdip7q,https://images.is.ed.ac.uk/luna/servlet/detail/UoEsha~1~1~48087~101692?trs=64&qvq=w4s%3A%2Fwhat%2FJA+3713%3Bq%3AJA+3713%3Bsort%3AWork_Creator_Details%2CRepro_Record_ID%2CWork_Shelfmark%2CWork_Creator_Name%3Blc%3AUoEsha%7E1%7E1&mi=59&cic=UoEsha%7E1%7E1
435jvy,https://images.is.ed.ac.uk/luna/servlet/view/search?q=Work_Shelfmark%3D%22JA+3713%22&pgs=50&res=1&cic=UoEsha%7E1%7E1
